Resistor 1250=1250
Series 1000+240=1240
Series 1100+150=1250
Series 1100+160=1260
Series 1200+39=1239
Series 1200+43=1243
Series 1200+47=1247
Series 1200+51=1251
Series 1200+56=1256
Series 1200+62=1262
Series 330+910=1240
Series 430+820=1250
Series 510+750=1260
Series 560+680=1240
Series 1+1000+240=1241
Series 1+1100+150=1251
Series 1+1100+160=1261
Series 1+1200+39=1240
Series 1+1200+43=1244
Series 1+1200+47=1248
Series 1+1200+51=1252
Series 1+1200+56=1257
Series 1+150+1100=1251
Series 1+160+1100=1261
Series 1+240+1000=1241
Series 1+330+910=1241
Series 1+39+1200=1240
Series 1+43+1200=1244
Series 1+430+820=1251
Series 1+47+1200=1248
Series 1+51+1200=1252
Series 1+510+750=1261
Series 1+56+1200=1257
Series 1+560+680=1241
Series 1+620+620=1241
Series 1+680+560=1241
Series 1+750+510=1261
Series 1+820+430=1251
Series 1+910+330=1241
Series 10+1000+240=1250
Series 10+1100+130=1240
Series 10+1100+150=1260
Series 10+1200+30=1240
Series 10+1200+33=1243
Series 10+1200+36=1246
Series 10+1200+39=1249
Series 10+1200+43=1253
Series 10+1200+47=1257
Series 10+1200+51=1261
Series 10+130+1100=1240
Series 10+150+1100=1260
Series 10+240+1000=1250
Series 10+30+1200=1240
Series 10+33+1200=1243
Series 10+330+910=1250
Series 10+36+1200=1246
Series 10+39+1200=1249
Series 10+43+1200=1253
Series 10+430+820=1260
Series 10+47+1200=1257
Series 10+51+1200=1261
Series 10+560+680=1250
Series 10+620+620=1250
Series 10+680+560=1250
Series 10+820+430=1260
Series 10+910+330=1250
Series 100+1000+150=1250
Series 100+1000+160=1260
Series 100+1100+39=1239
Series 100+1100+43=1243
Series 100+1100+47=1247
Series 100+1100+51=1251
Series 100+1100+56=1256
Series 100+1100+62=1262
Series 100+240+910=1250
Series 100+330+820=1250
Series 100+39+1100=1239
Series 100+390+750=1240
Series 100+43+1100=1243
Series 100+47+1100=1247
Series 100+470+680=1250
Series 100+51+1100=1251
Series 100+56+1100=1256
Series 100+62+1100=1262
Series 100+680+470=1250
Series 100+750+390=1240
Series 100+820+330=1250
Series 100+910+240=1250
Series 1000+1.1+240=1241.1
Series 1000+11+240=1251
Series 1000+110+130=1240
Series 1000+110+150=1260
Series 1000+1.2+240=1241.2
Series 1000+12+240=1252
Series 1000+120+120=1240
Series 1000+120+130=1250
Series 1000+1.3+240=1241.3
Series 1000+13+240=1253
Series 1000+130+110=1240
Series 1000+130+120=1250
Series 1000+130+130=1260
Series 1000+1.5+240=1241.5
Series 1000+15+240=1255
Series 1000+150+110=1260
Series 1000+150+91=1241
Series 1000+1.6+240=1241.6
Series 1000+16+240=1256
Series 1000+160+82=1242
Series 1000+160+91=1251
Series 1000+1.8+240=1241.8
Series 1000+18+220=1238
Series 1000+18+240=1258
Series 1000+180+62=1242
Series 1000+180+68=1248
Series 1000+180+75=1255
Series 1000+180+82=1262
Series 1000+2+240=1242
Series 1000+20+220=1240
Series 1000+20+240=1260
Series 1000+200+39=1239
Series 1000+200+43=1243
Series 1000+200+47=1247
Series 1000+200+51=1251
Series 1000+200+56=1256
Series 1000+200+62=1262
Series 1000+2.2+240=1242.2
Series 1000+22+220=1242
Series 1000+22+240=1262
Series 1000+220+18=1238
Series 1000+220+20=1240
Series 1000+220+22=1242
Series 1000+220+24=1244
Series 1000+220+27=1247
Series 1000+220+30=1250
Series 1000+220+33=1253
Series 1000+220+36=1256
Series 1000+220+39=1259
Series 1000+2.4+240=1242.4
Series 1000+24+220=1244
Series 1000+240+1.1=1241.1
Series 1000+240+11=1251
Series 1000+240+1.2=1241.2
Series 1000+240+12=1252
Series 1000+240+1.3=1241.3
Series 1000+240+13=1253
Series 1000+240+1.5=1241.5
Series 1000+240+15=1255
Series 1000+240+1.6=1241.6
Series 1000+240+16=1256
Series 1000+240+1.8=1241.8
Series 1000+240+18=1258
Series 1000+240+2=1242
Series 1000+240+20=1260
Series 1000+240+2.2=1242.2
Series 1000+240+22=1262
Series 1000+240+2.4=1242.4
Series 1000+240+2.7=1242.7
Series 1000+240+3=1243
Series 1000+240+3.3=1243.3
Series 1000+240+3.6=1243.6
Series 1000+240+3.9=1243.9
Series 1000+240+4.3=1244.3
Series 1000+240+4.7=1244.7
Series 1000+240+5.1=1245.1
Series 1000+240+5.6=1245.6
Series 1000+240+6.2=1246.2
Series 1000+240+6.8=1246.8
Series 1000+240+7.5=1247.5
Series 1000+240+8.2=1248.2
Series 1000+240+9.1=1249.1
Series 1000+2.7+240=1242.7
Series 1000+27+220=1247
Series 1000+3+240=1243
Series 1000+30+220=1250
Series 1000+3.3+240=1243.3
Series 1000+33+220=1253
Series 1000+3.6+240=1243.6
Series 1000+36+220=1256
Series 1000+3.9+240=1243.9
Series 1000+39+200=1239
Series 1000+39+220=1259
Series 1000+4.3+240=1244.3
Series 1000+43+200=1243
Series 1000+4.7+240=1244.7
Series 1000+47+200=1247
Series 1000+5.1+240=1245.1
Series 1000+51+200=1251
Series 1000+5.6+240=1245.6
Series 1000+56+200=1256
Series 1000+6.2+240=1246.2
Series 1000+62+180=1242
Series 1000+62+200=1262
Series 1000+6.8+240=1246.8
Series 1000+68+180=1248
Series 1000+7.5+240=1247.5
Series 1000+75+180=1255
Series 1000+8.2+240=1248.2
Series 1000+82+160=1242
Series 1000+82+180=1262
